,Brainstem,SpinalCord,Esophagus,Larynx,Mandible_Bone,Parotid_L,Parotid_R,Acoustic_L,Acoustic_R,Lens_L,Lens_R,Eye_L,Eye_R,Nrv_Optic_L,Nrv_Optic_R,OpticChiasm
23,0.0,0.7180967618517616,0.25542389853137515,0.29355677549841086,0.7611441451945125,0.5247335772228408,0.5667555805138285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.7244407908968978,0.8244018716341485,0.5568424458104173,0.3673806248771861,0.8702883543093834,0.872989519560029,0.8602544242594939,0.3129689174705252,0.2834170854271357,0.6532258064516129,0.7254237288135593,0.9337470907680372,0.9106647068430508,0.56575682382134,0.6600284495021337,0.33612040133779264
25,0.798821872198745,0.870716182607596,0.5989019861133538,0.34899749373433586,0.8807345598337857,0.8682899045991741,0.8534360795882123,0.409683426443203,0.2726387536514119,0.7898089171974523,0.677115987460815,0.8510399100618324,0.8826188193398165,0.7247956403269755,0.6572164948453608,0.02518891687657431
26,0.8607278596345083,0.8704148813878149,0.7189120663823902,0.47950388900567587,0.8870771788477524,0.8529527008116429,0.820025702631726,0.3603431839847474,0.32196162046908317,0.7896678966789668,0.5848375451263538,0.9288104654700334,0.8924340546517138,0.7214484679665738,0.6692913385826772,0.0
27,0.8621445885114079,0.8583695322759874,0.7036750483558994,0.4064867738933936,0.8933935166187936,0.8510207311283431,0.8569979394515771,0.3717105263157895,0.27914893617021275,0.549618320610687,0.8142857142857143,0.8602402578376794,0.8560794044665012,0.6252983293556086,0.6551724137931034,0.6843373493975904
28,0.8226298542317978,0.8464544414792222,0.7673725490196078,0.36163279307092017,0.9020337891745868,0.8702559010985491,0.8345026826248453,0.41857241857241856,0.38228782287822877,0.6335877862595419,0.6446886446886447,0.8921330089213301,0.903619470253779,0.6466346153846154,0.49748743718592964,0.33540372670807456
29,0.8519594305033094,0.8829495494711183,0.5214312808193198,0.2807245552757696,0.8770969660916121,0.8709904603367693,0.8897904808041661,0.43033800494641383,0.3856041131105398,0.6223776223776224,0.5771812080536913,0.9014972419227738,0.881475454298888,0.7236180904522613,0.6857142857142857,0.22535211267605634
30,0.7991344819139381,0.8172345082154641,0.5331166192604633,0.29481537365354793,0.8718808974627804,0.8646979515504719,0.8902512218125697,0.39408866995073893,0.3443223443223443,0.0,0.0,0.2567027952082145,0.5114560236511456,0.647985989492119,0.5913272010512484,0.3485714285714286
31,0.8005715306304697,0.8438033611934933,0.7360027146250424,0.4042899470016275,0.8686094987333692,0.8630697674418605,0.8504066714712242,0.40902255639097745,0.3330457290767903,0.7329192546583851,0.6690647482014388,0.8845374746792708,0.8363297376481555,0.5837173579109063,0.6935724962630793,0.5997818974918212
32,0.8579504704045902,0.8329532773761583,0.689808304344608,0.4380436883819834,0.8746008090270385,0.8616033755274262,0.8188077246011755,0.30639097744360905,0.3199251637043966,0.6666666666666666,0.5962264150943396,0.8719052744886975,0.8414116268853419,0.634207240948814,0.6873315363881402,0.45255474452554745
33,0.0,0.7368804285639985,0.3608364791179819,0.533151904997526,0.7184688556529711,0.08554351886440045,0.08883855542972191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.6882839832750235,0.850089103316382,0.5058927000879507,0.38529966753526823,0.8901185081910074,0.7901611085327852,0.7924579306616206,0.3608174770965469,0.40454222853087296,0.704,0.5622489959839357,0.8965704953728906,0.88905238375515,0.44929797191887677,0.46820027063599456,0.7474747474747475
